subset,k,aic
"('CloseLag3', 'OMCLag2', 'CloseEMA4')",3,5482.55562892801
"('HMLLag1', 'VolumeLag1', 'VolumeLag3')",3,5482.557411696784
"('VolumeLag2', 'CloseEMA2', 'CloseEMA8')",3,5482.559953297997
"('CloseLag2', 'HMLLag2', 'OMCLag2')",3,5482.562830919681
"('HMLLag2', 'OMCLag2', 'CloseEMA2')",3,5482.563017302409
"('HMLLag2', 'OMCLag2', 'CloseEMA4')",3,5482.56375952855
"('CloseLag1', 'HMLLag2', 'OMCLag2')",3,5482.5641892842705
"('HMLLag3', 'VolumeLag1', 'VolumeLag3')",3,5482.565420350409
"('HMLLag2', 'OMCLag2', 'CloseEMA8')",3,5482.565845902383
"('OMCLag3', 'VolumeLag1', 'VolumeLag3')",3,5482.566830789136
"('HMLLag2', 'VolumeLag1', 'VolumeLag3')",3,5482.5677278454805
"('CloseLag3', 'HMLLag1', 'OMCLag2')",3,5482.574217145211
"('HMLLag3', 'OMCLag1', 'OMCLag2')",3,5482.5797015955595
"('CloseLag2', 'HMLLag1', 'OMCLag2')",3,5482.581175516716
"('HMLLag1', 'OMCLag2', 'CloseEMA2')",3,5482.581646008869
"('HMLLag1', 'OMCLag2', 'CloseEMA4')",3,5482.582253183767
"('CloseLag1', 'HMLLag1', 'OMCLag2')",3,5482.582491441393
"('HMLLag1', 'OMCLag2', 'CloseEMA8')",3,5482.584251396516
"('CloseLag1', 'VolumeLag1', 'CloseEMA8')",3,5482.586247551505
"('HMLLag2', 'OMCLag1', 'OMCLag2')",3,5482.594343990737
"('CloseLag1', 'VolumeLag2', 'CloseEMA8')",3,5482.595911676673
"('HMLLag1', 'OMCLag1', 'OMCLag2')",3,5482.600867064415
"('CloseLag3', 'VolumeLag1', 'CloseEMA8')",3,5482.604503439172
"('OMCLag1', 'CloseEMA4', 'CloseEMA8')",3,5482.6046464240135
"('VolumeLag1', 'CloseEMA2', 'CloseEMA4')",3,5482.608702893687
"('CloseLag3', 'VolumeLag2', 'CloseEMA8')",3,5482.608858169009
"('CloseLag1', 'CloseLag3', 'OMCLag2')",3,5482.613429521533
"('OMCLag1', 'VolumeLag1', 'CloseEMA2')",3,5482.613977729514
"('HMLLag3', 'OMCLag2', 'OMCLag3')",3,5482.614275982295
"('CloseLag1', 'OMCLag1', 'VolumeLag1')",3,5482.614291376457
"('OMCLag1', 'CloseEMA2', 'CloseEMA8')",3,5482.616332883784
"('CloseLag2', 'OMCLag1', 'VolumeLag1')",3,5482.61728390213
"('OMCLag1', 'VolumeLag1', 'CloseEMA4')",3,5482.617385374221
"('OMCLag1', 'OMCLag2', 'OMCLag3')",3,5482.617862420297
"('VolumeLag2', 'CloseEMA2', 'CloseEMA4')",3,5482.618365418628
"('OMCLag1', 'VolumeLag2', 'CloseEMA2')",3,5482.618861916628
"('CloseLag3', 'OMCLag1', 'VolumeLag1')",3,5482.619136329446
"('CloseLag1', 'OMCLag1', 'VolumeLag2')",3,5482.619170663629
"('OMCLag2', 'CloseEMA4', 'CloseEMA8')",3,5482.619740697217
"('CloseLag1', 'OMCLag1', 'CloseEMA8')",3,5482.620956063685
"('CloseLag2', 'OMCLag1', 'VolumeLag2')",3,5482.62208333781
